ioc,weight,ioc_class
qanon.pub,5,radical_conspiracy
Qmap.pub,5,radical_conspiracy
spectator.us,1,right_media
wattsupwiththat.com,1,right_social_issues
renewedright.com,2,alt_right_media
gopusa.com,2,alt_right_media
whatdoesitmean.com,5,radical_conspiracy
capforcanada.com,2,canada_influence
USFREEDOMARMY.COM,5,radical_conspiracy
yournewswire.com,2,alt_right_media
independentsentinel.com,2,alt_right_media
tedcruz.org,1,right_media
breaking911.com,5,malicious_media
gab.ai,5,radical_platform_migration
frankreport.com,5,radical_conspiracy
defensemaven.io,1,right_media
godfatherpolitics.com,5,malicious_media
Newsmax.com,1,right_media
campusreform.org,2,alt_right_media
aclj.us,1,right_social_issues
beforeitsnews.com,5,radical_conspiracy
bearingarms.com,1,right_social_issues
conservativemedia.us,5,malicious_media
informationliberation.com,5,malicious_media
barenakedislam.com,5,malicious_media
neonrevolt.com,5,radical_conspiracy
nraila.org,1,right_social_issues
canadafreepress.com,2,canada_influence
spencerfernando.com,2,canada_influence
grabien.com,2,alt_right_media
conservativefighters.org,5,malicious_media
katrinapierson.com,2,alt_right_media
politicalite.com,2,brexit
michaelsavage.com,2,alt_right_media
newswars.com,5,malicious_media
projectveritas.com,5,radical_conspiracy
thehornnews.com,5,malicious_media
thenewamerican.com,1,right_media
mainwashed.com,5,malicious_media
thefreethoughtproject.com,5,radical_conspiracy
prageru.com,5,radical_platform_migration
qmap.pub,5,radical_platform_migration
gab.com,5,radical_platform_migration
foxnews.com,1,right_media
washingtonexaminer.com,1,right_media
fxn.ws,1,right_media
dailywire.com,1,right_media
dailymail.co.uk,1,right_media
rt.com,5,russian_media
shr.lc,5,russian_media
creativedestructionmedia.com,5,russian_media
mikeflynndefensefund.org,5,russian_media
newspunch.com,5,russian_media
voiceofeurope.com,3,europe_influence
mediaite.com,1,left_media
thedailybeast.com,1,left_media
unfollowspy.com,2,propagandist_tools
topbuzz.com,2,propagandist_tools
thegatewaypundit.com,2,alt_right_media
breitbart.com,2,alt_right_media
dailycaller.com,2,alt_right_media
saraacarter.com,2,alt_right_media
jwatch.us,2,alt_right_media
westernjournal.com,2,alt_right_media
theepochtimes.com,2,alt_right_media
bongino.com,2,alt_right_media
thefederalist.com,2,alt_right_media
townhall.com,2,alt_right_media
judicialwatch.org,2,alt_right_media
hannity.com,2,alt_right_media
thedcpatriot.com,2,alt_right_media
truepundit.com,2,alt_right_media
bigleaguepolitics.com,2,alt_right_media
lifenews.com,2,alt_right_media
redstate.com,2,alt_right_media
infowars.com,2,alt_right_media
theblaze.com,2,alt_right_media
ilovemyfreedom.org,5,malicious_media
trendingpolitics.com,5,malicious_media
trump-train.com,5,malicious_media
bizpacreview.com,5,malicious_media
magamedia.org,5,malicious_media
theconservativetreehouse.com,5,malicious_media
100percentfedup.com,5,malicious_media
kagdaily.com,5,malicious_media
starpolitical.com,5,malicious_media
summit.news,5,malicious_media
usapolitico.com,5,malicious_media
uslibertywire.com,5,malicious_media
neonnettle.com,5,malicious_media
conservativeflash.com,5,malicious_media
illegalaliencrimereport.com,5,malicious_media
thepalmierireport.com,5,malicious_media
coreysdigs.com,5,malicious_media
deplorablekel.com,5,malicious_media
parler.com,5,radical_platform_migration
nationalreview.com,1,right_media
mol.im,1,right_media
conservativereview.com,1,right_media
humanevents.com,1,right_media
pjmedia.com,1,right_media
freebeacon.com,1,right_media
thesun.co.uk,1,right_media
realclearpolitics.com,1,right_media
express.co.uk,1,right_media
donaldjtrump.com,1,right_media
cbn.com,1,right_media
ijr.com,1,right_media
realclearinvestigations.com,1,right_media
legalinsurrection.com,1,right_media
newsmax.com,1,right_media
christianpost.com,1,right_media
americanthinker.com,2,alt_right_media
chicksonright.com,2,alt_right_media
davidharrisjr.com,2,alt_right_media
amgreatness.com,2,alt_right_media
bluntforcetruth.com,2,alt_right_media
oann.com,2,alt_right_media
grrrgraphics.com,2,alt_right_media
wnd.com,2,alt_right_media
diamondandsilk.com,2,alt_right_media
gellerreport.com,2,alt_right_media
toddstarnes.com,2,alt_right_media
lauraloomer.us,2,alt_right_media
therightscoop.com,2,alt_right_media
dailysignal.com,2,alt_right_media
freedomoutpost.com,2,alt_right_media
hotair.com,2,alt_right_media
waynedupree.com,2,alt_right_media
jihadwatch.org,2,alt_right_media
frontpagemag.com,2,alt_right_media
dailysign.al,2,alt_right_media
steadfastandloyal.com,5,malicious_media
weaselzippers.us,2,alt_right_media
NaturalNews.com,3,general_conspiracy
AmericaFirstTV.com,5,malicious_media
viatube.com,5,malicious_media
Trumpit.Chat,5,radical_platform_migration
abeldanger.org,5,russian_media
q-clock.com,5,radical_conspiracy
theblacksphere.net,3,usa_race_relations
westmonster.com,2,brexit
fellowshipoftheminds.com,5,malicious_media
webuildthewall.us,2,alt_right_media
redjournalists.com,5,malicious_media
patrioticviralnews.com,5,malicious_media
infowarsarmy.com,5,radical_platform_migration
inthematrixxx.com,5,radical_conspiracy
debunkingrodwheelersclaims.net,5,malicious_media
GodSentUsTrump.com,5,malicious_media
1776channel.com,5,malicious_media
GodSentDonaldTrump.com,5,malicious_media
TPUSA.com,5,malicious_media
lifesitenews.com,1,alt_right_media
patriotpost.us,2,alt_right_media
8ch.net,5,radical_platform_migration
governorpalin.org,1,right_media
order-order.com,2,brexit
thepoliticalinsider.com,2,alt_right_media
lifezette.com,2,alt_right_media
PatriotJournalist.com,2,alt_right_media
theamericanmirror.com,5,malicious_media
